event,Mw,PGA,GWT,y,crit_FS,crit_depth,qc1Ncs_crit,Ic_crit,sev_crit,n_liq_layers,LPI,crit_FS_capped
Chi-Chi,7.62,0.6,2.5,1,0.1890326763143705,14.11,83.47840517126045,2.4561947786804144,135.8281358279081,798,15.511205098871352,0.1890326763143705
Loma Prieta,6.93,0.13,1.8,0,0.803513558427004,10.48,66.62856135790044,1.8220434783962676,97.70495688165715,1084,0.32973473593382474,0.803513558427004
Loma Prieta,6.93,0.13,1.7,0,0.7096068434650504,14.06,51.60116100217993,1.793649607002337,119.5515961198486,764,1.3903431097199783,0.7096068434650504
Loma Prieta,6.93,0.26,2.4,0,0.39193309348696753,16.41,52.965520424034025,1.842409619296059,149.84291007243812,753,8.475771980170567,0.39193309348696753
Loma Prieta,6.93,0.26,1.8,0,0.4147593939465968,5.86,65.36870466709323,2.5740432087848086,56.06409046153077,843,12.104930160975567,0.4147593939465968
Westmorland,5.9,0.09,1.5,0,1.4552527918195695,10.43,80.68051965055933,1.9186990665129162,89.8859577270206,426,0.0,1.4552527918195695
Imperial Valley,6.53,0.51,1.5,0,0.23275762136205924,10.43,80.68051965055933,1.9186990665129162,89.8859577270206,426,18.389125857326068,0.23275762136205924
Superstition Hills,6.54,0.2,1.5,0,0.5926309122656038,10.43,80.68051965055933,1.9186990665129162,89.8859577270206,426,6.391960305848709,0.5926309122656038
Westmorland,5.9,0.09,1.5,0,1.4304633643564808,8.969999999999999,77.10873055773308,2.5628403481772803,85.0786631049418,549,0.0,1.4304633643564808
Imperial Valley,6.53,0.51,1.5,1,0.23155935036690678,8.969999999999999,77.10873055773308,2.5628403481772803,85.0786631049418,549,26.16130936824215,0.23155935036690678
Hyogoken-Nambu,6.9,0.65,2.0,1,0.17412159001902738,8.68,72.59119672299721,2.518436989150648,84.96058497174837,764,16.94254582891072,0.17412159001902738
Loma Prieta,6.93,0.28,1.2,1,0.4852961550541873,3.8199999999999994,89.30137762528516,1.5949106476389616,37.78243586243437,490,2.663649989077708,0.4852961550541873
Loma Prieta,6.93,0.28,1.3,1,0.3299062746539246,13.149999999999999,53.77045897884714,1.768477864871302,115.39886205914581,703,8.643794698357276,0.3299062746539246
Loma Prieta,6.93,0.4,5.6,1,0.3861898719308098,11.35,81.21080680716578,1.849891158525821,138.10679238244975,794,19.73801364954688,0.3861898719308098
Loma Prieta,6.93,0.4,6.2,0,0.7648905753649792,7.5,126.24022095362051,2.035524424112317,116.85827902505709,221,0.32239030617953,0.7648905753649792
Edgecumbe,6.6,0.42,1.6,1,0.26053610148647993,8.63,67.69562932075571,1.8164614940632686,83.71889662744675,987,24.81469163852085,0.26053610148647993
Edgecumbe,6.6,0.42,1.89,0,0.27117878120669175,11.07,69.79615285923191,1.7340897204550927,104.76842185152802,841,18.6312674237589,0.27117878120669175
Edgecumbe,6.6,0.41,2.08,0,0.2573676153973159,7.469999999999999,56.29428858781469,1.8304141108164944,77.01596450983297,948,22.805544403603214,0.2573676153973159
Hyogoken-Nambu,6.9,0.65,1.0,0,0.1870969306513188,3.5799999999999996,76.53613976875053,2.532221430964036,38.1718011977936,449,12.60593913067007,0.1870969306513188
Hyogoken-Nambu,6.9,0.6,2.4,1,0.19585924519191092,8.790000000000003,70.4124074061702,1.7971103841590177,94.25946938212269,1262,29.718953539694102,0.19585924519191092
Hyogoken-Nambu,6.9,0.6,2.4,1,0.21679871312172655,8.370000000000001,81.65861237948786,1.82946910661687,91.03385952924582,912,27.136695306797584,0.21679871312172655
